lease_external_id,property_external_id,property_name,property_type,address_line1,city,state,postal_code,total_rentable_sqft,tenant_external_id,tenant_name,tenant_industry,leased_sqft,lease_start_date,lease_end_date,renewal_notice_date,annual_base_rent,lease_status,assigned_manager,last_contact_date
LSE-1001,PROP-DAL-01,Las Colinas Commerce Center,OFFICE,500 Riverside Drive,Irving,TX,75039,220000,TEN-001,NorthStar Financial,Financial Services,42000,2021-10-01,2026-10-31,2026-04-30,1512000,NOT_STARTED,,
LSE-1002,PROP-DAL-01,Las Colinas Commerce Center,OFFICE,500 Riverside Drive,Irving,TX,75039,220000,TEN-002,BluePeak Software,Technology,30000,2022-01-01,2027-01-31,2026-07-31,1080000,CONTACT_TENANT,Priya Shah,2026-08-05
LSE-1003,PROP-DAL-01,Las Colinas Commerce Center,OFFICE,500 Riverside Drive,Irving,TX,75039,220000,TEN-003,Meridian Legal Group,Legal,18000,2020-07-01,2027-06-30,2026-12-31,684000,MONITOR,Daniel Reed,2026-07-22
LSE-1004,PROP-DAL-01,Las Colinas Commerce Center,OFFICE,500 Riverside Drive,Irving,TX,75039,220000,TEN-004,WellSpring Health,Healthcare,36000,2022-04-01,2028-03-31,2027-09-30,1296000,MONITOR,Ana Lopez,2026-06-15
LSE-1005,PROP-DAL-02,Trinity Business Plaza,OFFICE,2100 Commerce Street,Dallas,TX,75201,175000,TEN-005,RedRiver Insurance,Insurance,50000,2019-09-01,2026-08-31,2026-02-28,1800000,RENEWAL_DISCUSSION,Marcus Lee,2026-08-12
LSE-1006,PROP-DAL-02,Trinity Business Plaza,OFFICE,2100 Commerce Street,Dallas,TX,75201,175000,TEN-006,Lone Star Analytics,Technology,24000,2023-01-15,2026-11-15,2026-05-15,864000,NOT_STARTED,,
LSE-1007,PROP-DAL-02,Trinity Business Plaza,OFFICE,2100 Commerce Street,Dallas,TX,75201,175000,TEN-007,OakBridge Consulting,Professional Services,15000,2021-12-01,2027-02-28,2026-08-31,510000,CONTACT_TENANT,Ana Lopez,2026-08-10
LSE-1008,PROP-DAL-02,Trinity Business Plaza,OFFICE,2100 Commerce Street,Dallas,TX,75201,175000,TEN-008,Cedar Retail Holdings,Retail,22000,2022-06-01,2027-09-30,2027-03-31,748000,MONITOR,Marcus Lee,2026-05-20
LSE-1009,PROP-AUS-01,Domain Innovation Tower,OFFICE,11800 Innovation Way,Austin,TX,78758,310000,TEN-009,Vertex AI Systems,Technology,70000,2022-03-01,2026-07-31,2026-01-31,2800000,TENANT_EXITING,Sofia Patel,2026-07-15
LSE-1010,PROP-AUS-01,Domain Innovation Tower,OFFICE,11800 Innovation Way,Austin,TX,78758,310000,TEN-010,GreenCircuit Energy,Energy,45000,2021-11-01,2026-12-31,2026-06-30,1665000,RENEWAL_IN_PROGRESS,Sofia Patel,2026-08-14
LSE-1011,PROP-AUS-01,Domain Innovation Tower,OFFICE,11800 Innovation Way,Austin,TX,78758,310000,TEN-011,Capital Robotics,Manufacturing,38000,2023-05-01,2027-05-31,2026-11-30,1406000,NOT_STARTED,,
LSE-1012,PROP-AUS-01,Domain Innovation Tower,OFFICE,11800 Innovation Way,Austin,TX,78758,310000,TEN-012,Sunbelt Payments,Financial Technology,52000,2022-08-01,2028-07-31,2028-01-31,1924000,MONITOR,Daniel Reed,2026-07-01
LSE-1013,PROP-HOU-01,Bayou Logistics Park,INDUSTRIAL,8900 Port Road,Houston,TX,77029,600000,TEN-013,Gulf Freight Partners,Logistics,180000,2020-01-01,2026-12-15,2026-06-15,1890000,NOT_STARTED,,
LSE-1014,PROP-HOU-01,Bayou Logistics Park,INDUSTRIAL,8900 Port Road,Houston,TX,77029,600000,TEN-014,Atlas Distribution,Distribution,140000,2021-04-01,2027-03-31,2026-09-30,1470000,CONTACT_TENANT,James Carter,2026-08-01
LSE-1015,PROP-HOU-01,Bayou Logistics Park,INDUSTRIAL,8900 Port Road,Houston,TX,77029,600000,TEN-015,Delta Cold Storage,Food Logistics,160000,2022-02-01,2028-01-31,2027-07-31,1920000,MONITOR,James Carter,2026-06-28
LSE-1016,PROP-HOU-01,Bayou Logistics Park,INDUSTRIAL,8900 Port Road,Houston,TX,77029,600000,TEN-016,Coastal Equipment,Industrial Equipment,85000,2021-09-01,2026-09-30,2026-03-31,892500,RENEWAL_IN_PROGRESS,James Carter,2026-08-15
LSE-1017,PROP-PHX-01,Desert Ridge Retail Commons,RETAIL,22000 North Tatum Boulevard,Phoenix,AZ,85050,240000,TEN-017,Harvest Market,Grocery,60000,2019-01-01,2027-01-15,2026-07-15,1440000,NOT_STARTED,,
LSE-1018,PROP-PHX-01,Desert Ridge Retail Commons,RETAIL,22000 North Tatum Boulevard,Phoenix,AZ,85050,240000,TEN-018,FitLife Athletics,Fitness,28000,2022-10-01,2027-09-30,2027-03-31,672000,MONITOR,Emily Chen,2026-07-18
LSE-1019,PROP-PHX-01,Desert Ridge Retail Commons,RETAIL,22000 North Tatum Boulevard,Phoenix,AZ,85050,240000,TEN-019,Copper State Pharmacy,Healthcare Retail,12000,2021-06-01,2026-09-15,2026-03-15,396000,CONTACT_TENANT,Emily Chen,2026-08-11
LSE-1020,PROP-PHX-01,Desert Ridge Retail Commons,RETAIL,22000 North Tatum Boulevard,Phoenix,AZ,85050,240000,TEN-020,Desert Table Restaurants,Hospitality,20000,2023-01-01,2028-12-31,2028-06-30,600000,MONITOR,Emily Chen,2026-04-30
LSE-1021,PROP-CHI-01,Fulton Market Exchange,MIXED_USE,950 West Fulton Market,Chicago,IL,60607,280000,TEN-021,Lakefront Media,Media,35000,2021-05-01,2026-10-15,2026-04-15,1575000,NOT_STARTED,,
LSE-1022,PROP-CHI-01,Fulton Market Exchange,MIXED_USE,950 West Fulton Market,Chicago,IL,60607,280000,TEN-022,Midwest Design Collective,Design,22000,2022-07-01,2027-06-30,2026-12-31,990000,MONITOR,Olivia Grant,2026-07-07
